"2026-04-20 20:42:25.590" Selfbus garage door gateway
"2026-04-20 20:42:25.609" Tx/Rx;frame;count;delta ms;crc status;frame crc;calculated crc
"2026-04-20 20:42:35.427" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:42:35.570" Rx;00 01 02 CA;4;138;ok;CA;CA
"2026-04-20 20:42:35.697" Rx;00 01 02 CA;4;135;ok;CA;CA
"2026-04-20 20:42:35.840" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:42:35.983" Rx;00 01 02 CA;4;138;ok;CA;CA
"2026-04-20 20:42:36.108" Rx;00 01 02 CA;4;136;ok;CA;CA
"2026-04-20 20:42:36.248" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:42:36.389" Rx;00 01 02 CA;4;138;ok;CA;CA
"2026-04-20 20:42:36.519" Rx;00 01 02 CA;4;136;ok;CA;CA
"2026-04-20 20:42:36.659" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:42:36.793" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:42:36.929" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:42:37.078" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:42:37.199" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:42:37.348" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:42:37.493" Rx;00 01 02 CA;4;136;ok;CA;CA
"2026-04-20 20:42:37.619" Rx;00 01 02 CA;4;138;ok;CA;CA
"2026-04-20 20:42:37.713" Rx;28 02 01 80 0D;5;94;ok;0D;0D
"2026-04-20 20:42:37.729" Tx;80 12 14 28 A7;5;2;ok;A7;A7
"2026-04-20 20:42:37.762" Rx;00 01 02 CA;4;40;ok;CA;CA
"2026-04-20 20:42:37.889" Rx;00 01 02 CA;4;136;ok;CA;CA
"2026-04-20 20:42:38.033" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:42:38.174" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:42:38.299" Rx;00 01 02 CA;4;138;ok;CA;CA
"2026-04-20 20:42:38.439" Rx;00 01 02 CA;4;136;ok;CA;CA
"2026-04-20 20:42:38.570" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:42:38.709" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:42:38.859" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:42:38.985" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:42:39.128" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:42:39.271" Rx;00 01 02 CA;4;136;ok;CA;CA
"2026-04-20 20:42:39.399" Rx;00 01 02 CA;4;138;ok;CA;CA
"2026-04-20 20:42:39.539" Rx;00 01 02 CA;4;136;ok;CA;CA
"2026-04-20 20:42:39.669" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:42:39.812" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:42:39.948" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:42:40.081" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:42:40.225" Rx;00 01 02 CA;4;136;ok;CA;CA
"2026-04-20 20:42:40.359" Rx;00 01 02 CA;4;138;ok;CA;CA
"2026-04-20 20:42:40.494" Rx;00 01 02 CA;4;136;ok;CA;CA
"2026-04-20 20:42:40.632" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:42:40.765" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:42:40.904" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:42:41.048" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:42:41.178" Rx;00 01 02 CA;4;136;ok;CA;CA
"2026-04-20 20:42:41.318" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:42:41.449" Rx;00 01 02 CA;4;138;ok;CA;CA
"2026-04-20 20:42:41.589" Rx;00 01 02 CA;4;136;ok;CA;CA
"2026-04-20 20:42:41.729" Rx;00 01 02 CA;4;138;ok;CA;CA
"2026-04-20 20:42:41.858" Rx;00 01 02 CA;4;136;ok;CA;CA
"2026-04-20 20:42:42.001" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:42:42.146" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:42:42.274" Rx;00 01 02 CA;4;136;ok;CA;CA
"2026-04-20 20:42:42.408" Rx;00 01 02 CA;4;138;ok;CA;CA
"2026-04-20 20:42:42.544" Rx;00 01 02 CA;4;136;ok;CA;CA
"2026-04-20 20:42:42.687" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:42:42.828" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:42:42.949" Rx;00 01 02 CA;4;136;ok;CA;CA
"2026-04-20 20:42:43.098" Rx;00 01 02 CA;4;138;ok;CA;CA
"2026-04-20 20:42:43.218" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:42:43.368" Rx;00 01 02 CA;4;136;ok;CA;CA
"2026-04-20 20:42:43.509" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:42:43.641" Rx;00 01 02 CA;4;136;ok;CA;CA
"2026-04-20 20:42:43.778" Rx;00 01 02 CA;4;139;ok;CA;CA
"2026-04-20 20:42:43.909" Rx;00 01 02 CA;4;136;ok;CA;CA
"2026-04-20 20:42:44.049" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:42:44.189" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:42:44.319" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:42:44.459" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:42:44.609" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:42:44.737" Rx;00 01 02 CA;4;136;ok;CA;CA
"2026-04-20 20:42:44.878" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:42:44.998" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:42:45.149" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:42:45.293" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:42:45.418" Rx;00 01 02 CA;4;136;ok;CA;CA
"2026-04-20 20:42:45.561" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:42:45.689" Rx;00 01 02 CA;4;136;ok;CA;CA
"2026-04-20 20:42:45.829" Rx;00 01 02 CA;4;138;ok;CA;CA
"2026-04-20 20:42:45.968" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:42:46.099" Rx;00 01 02 CA;4;136;ok;CA;CA
"2026-04-20 20:42:46.241" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:42:46.388" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:42:46.516" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:42:46.658" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:42:46.783" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:42:46.929" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:42:47.068" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:42:47.199" Rx;00 01 02 CA;4;138;ok;CA;CA
"2026-04-20 20:42:47.338" Rx;00 01 02 CA;4;135;ok;CA;CA
"2026-04-20 20:42:47.483" Rx;00 01 02 CA;4;138;ok;CA;CA
"2026-04-20 20:42:47.612" Rx;00 01 02 CA;4;136;ok;CA;CA
"2026-04-20 20:42:47.748" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:42:47.879" Rx;00 01 02 CA;4;138;ok;CA;CA
"2026-04-20 20:42:48.019" Rx;00 01 02 CA;4;136;ok;CA;CA
"2026-04-20 20:42:48.119" Rx;28 02 01 80 0D;5;95;ok;0D;0D
"2026-04-20 20:42:48.119" Tx;80 22 14 28 46;5;2;ok;46;46
"2026-04-20 20:42:48.159" Rx;00 01 02 CA;4;39;ok;CA;CA
"2026-04-20 20:42:48.292" Rx;00 01 02 CA;4;138;ok;CA;CA
"2026-04-20 20:42:48.434" Rx;00 01 02 CA;4;136;ok;CA;CA
"2026-04-20 20:42:48.559" Rx;00 01 02 CA;4;138;ok;CA;CA
"2026-04-20 20:42:48.702" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:42:48.849" Rx;00 01 02 CA;4;136;ok;CA;CA
"2026-04-20 20:42:48.969" Rx;00 01 02 CA;4;136;ok;CA;CA
"2026-04-20 20:42:49.118" Rx;00 01 02 CA;4;138;ok;CA;CA
"2026-04-20 20:42:49.262" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:42:49.388" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:42:49.534" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:42:49.659" Rx;00 01 02 CA;4;136;ok;CA;CA
"2026-04-20 20:42:49.804" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:42:49.947" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:42:50.069" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:42:50.217" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:42:50.340" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:42:50.486" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:42:50.630" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:42:50.757" Rx;00 01 02 CA;4;136;ok;CA;CA
"2026-04-20 20:42:50.899" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:42:51.019" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:42:51.170" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:42:51.312" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:42:51.439" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:42:51.584" Rx;00 01 02 CA;4;136;ok;CA;CA
"2026-04-20 20:42:51.727" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:42:51.854" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:42:51.990" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:42:52.119" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:42:52.267" Rx;00 01 02 CA;4;136;ok;CA;CA
"2026-04-20 20:42:52.409" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:42:52.529" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:42:52.680" Rx;00 01 02 CA;4;138;ok;CA;CA
"2026-04-20 20:42:52.799" Rx;00 01 02 CA;4;136;ok;CA;CA
"2026-04-20 20:42:52.948" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:42:53.093" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:42:53.218" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:42:53.359" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:42:53.499" Rx;00 01 02 CA;4;136;ok;CA;CA
"2026-04-20 20:42:53.633" Rx;00 01 02 CA;4;138;ok;CA;CA
"2026-04-20 20:42:53.768" Rx;00 01 02 CA;4;136;ok;CA;CA
"2026-04-20 20:42:53.903" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:42:54.038" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:42:54.188" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:42:54.316" Rx;00 01 02 CA;4;136;ok;CA;CA
